Lp,PKod,Pavarage_stock,Pgroup,Pname,Psale,Rotation_in_days,Rotation_in_times,_id,p_sale_in_time
1,2155,0,ART._HYGIENIC,BELLA PODPASKI PERF.BLUE 10,25,0,,61ee036f8281e78e240fb010,0.06684492
1,17071,0,ART._HYGIENIC,COLGATE JUNIOR 50 G,0,NaN,NaN,61ee036f8281e78e240fb02a,0
1,8475,0,ART._HYGIENIC,SZAMPON HEAD S CHOUERS 400 ML CYTRUS,1,0,,61ee036f8281e78e240fb017,0.002673797
1,12459,14,ART._HYGIENIC,*GAZETA 23% VATVAT 23%.,13,402.7692308,0.928571429,61ee036f8281e78e240fb053,0.034759358
1,6995,0,CHEMISTRY,BARWNIKI DO JAJ HIT,1,0,,61ee036f8281e78e240fb05c,0.002673797
1,7927,0,CHEMISTRY,BATERIA AA LR3,7,0,,61ee036f8281e78e240fb05d,0.018716578
1,2820,0,CHEMISTRY,BELLA HERBS 12 SZT,16,0,,61ee036f8281e78e240fb063,0.042780749
1,19406,0,CHEMISTRY,BELLA HERBS PODPASKI K.LIPY 12,14,0,,61ee036f8281e78e240fb064,0.037433155
1,2906,0,CHEMISTRY,CLIN ZAPAS 500 ML,16,0,,61ee036f8281e78e240fb096,0.042780749
1,8181,0,CHEMISTRY,EVA MYDLO W PLYNIE Z DOZOW 500 ML,1,0,,61ee036f8281e78e240fb0af,0.002673797
1,6847,0,CHEMISTRY,GILLETTE PIANKA DO GOL.MAN,5,0,,61ee036f8281e78e240fb0ce,0.013368984
1,10266,0,CHEMISTRY,GLOW 750 ML DO LAZIENEK,1,0,,61ee036f8281e78e240fb0d2,0.002673797
1,10212,0,CHEMISTRY,GOLARKA GILLETTE 3 1 SZT,4,0,,61ee036f8281e78e240fb0d3,0.010695187
1,8431,0,CHEMISTRY,HELP KOLOR 1.88 PROSZEK,1,0,,61ee036f8281e78e240fb0df,0.002673797
1,1620,0,CHEMISTRY,KLEJ SUPER GLUE,14,0,,61ee036f8281e78e240fb0e5,0.037433155
1,1999,0,CHEMISTRY,LUDWIK D/NACZYN 1L MIETOW,31,0,,61ee036f8281e78e240fb0fd,0.082887701
1,10222,0,CHEMISTRY,MYDLO DOVE KOSTKA 100G BUTTER,3,0,,61ee036f8281e78e240fb11d,0.00802139
1,8126,0,CHEMISTRY,NOZYCZKI Z LINIJKA,2,0,,61ee036f8281e78e240fb133,0.005347594
1,10236,0,CHEMISTRY,NUREK GRANULKI UDRAZNIA 250 G,2,0,,61ee036f8281e78e240fb135,0.005347594
1,2892,0,CHEMISTRY,PAPIER SNIADANIOW.MAWA 300X325,246,0,,61ee036f8281e78e240fb14e,0.657754011
1,6210,0,CHEMISTRY,PAPIER TOAL.8 SZT MEA NIEB,99,0,,61ee036f8281e78e240fb152,0.264705882
1,17578,0,CHEMISTRY,PASTA COLODENT SUP.SWIEZOSC 100G,12,0,,61ee036f8281e78e240fb15c,0.032085561
1,6801,0,CHEMISTRY,PLATKI KOSMETYCZNE MEA 120 SZT,58,0,,61ee036f8281e78e240fb176,0.155080214
1,14549,0,CHEMISTRY,PUR ACTION 900 ML APLLE,3,0,,61ee036f8281e78e240fb193,0.00802139
1,6948,0,CHEMISTRY,SOFTLAN PLYN DO PLUK.NIEB 1 L,9,0,,61ee036f8281e78e240fb1ad,0.024064171
1,4560,0,CHEMISTRY,SPIRYTUS SALICYNOWY 90 G,22,0,,61ee036f8281e78e240fb1b3,0.058823529
1,17727,0,CHEMISTRY,TEMPEROWKA METALOWA,1,0,,61ee036f8281e78e240fb1c8,0.002673797
1,5977,0,CHEMISTRY,VANISH OXI,1,0,,61ee036f8281e78e240fb1d7,0.002673797
1,9804,0,CHEMISTRY,ZESZYT 60 K KRATKE,10,0,,61ee036f8281e78e240fb1f8,0.026737968
1,359,0,ART._HYGIENIC,TAMPON BELLA A/8 MINI,0,NaN,NaN,61ee036f8281e78e240fb03b,0
