Pgroup,Lp,Pkod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
ART._HYGIENIC,1,8478,BAMBINO SZAMPON 400 ML,0.013368984,5,0,0,
ART._HYGIENIC,1,17048,BELLA PODPASKI BLUE MAX,0.024064171,9,0,0,
ART._HYGIENIC,1,41,BELLA PODPASKI NORMAL 20 B/SKRZYD,0.136363636,51,0,0,
ART._HYGIENIC,1,2155,BELLA PODPASKI PERF.BLUE 10,0.06684492,25,0,0,
ART._HYGIENIC,1,2918,BELLA PODPASKI PERFECTA GREEN,0.024064171,9,0,0,
ART._HYGIENIC,1,8473,EVA MYDLO W PLYNIE Z DOZ 500 MML,0.016042781,6,0,0,
ART._HYGIENIC,1,8474,EVA MYDLO W PLYNIE Z DOZOW.500 ML,0.00802139,3,0,0,
ART._HYGIENIC,1,8479,PLYN DO ?AZIENKI 1 L Z?TY,0.00802139,3,0,0,
ART._HYGIENIC,1,8480,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,0.010695187,4,0,0,
ART._HYGIENIC,1,8481,PLYN KAMIEN I RDZA 750 ML,0.010695187,4,0,0,
ART._HYGIENIC,1,8475,SZAMPON HEAD S CHOUERS 400 ML CYTRUS,0.002673797,1,0,0,
ART._HYGIENIC,1,8476,SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC,0.00802139,3,0,0,
ART._HYGIENIC,1,360,TAMPON BELLA A/8 REGULAR,0.024064171,9,0,0,
ART._HYGIENIC,1,361,TAMPONY BELLA A/8 SUPER,0.013368984,5,0,0,
ART._HYGIENIC,1,156,WATA 100G BELLA,0.021390374,8,0,0,
ART._HYGIENIC,1,155,WATA BAWELNIANA BELLA 100G,0.005347594,2,0,0,
ART._HYGIENIC,1,8482,ODSWIEZACZ SZYSZKA ZAPAS,0.013368984,5,2,149.6,2.5
ART._HYGIENIC,1,54,BELLA PODPASKI NOVA MAXI 10,0.048128342,18,6,124.6666667,3
ART._HYGIENIC,1,3214,PODPASKI BELLA  NOVA 10 SZT,0.024064171,9,3,124.6666667,3
ART._HYGIENIC,1,3646,BELLA HERBS 12 Z WERBENA,0.032085561,12,3,93.5,4
ART._HYGIENIC,1,362,TAMPONY BELLA A/8 SUPER PLUS,0.010695187,4,1,93.5,4
ART._HYGIENIC,1,55,BELLA PODPASKI NORMAL MAXI 10,0.064171123,24,1,15.58333333,24
ART._HYGIENIC,1,6706,BALON KOLOR,0.131016043,49,0,0,
ART._HYGIENIC,1,6703,BIBULA KOLOR,0.00802139,3,0,0,
ART._HYGIENIC,1,6705,DLUGOPIS PSTRYKANY,0.016042781,6,0,0,
ART._HYGIENIC,1,6704,KOREKTOR  W PISAKU,0.002673797,1,0,0,
ART._HYGIENIC,1,6701,PAPIER KOLOROWY A4,0.002673797,1,0,0,
ART._HYGIENIC,1,569,SERWETKI WIELKANOCNE 20 SZT,0.00802139,3,0,0,
ART._HYGIENIC,1,6700,ZESZYT W LINIE 32 K,0.013368984,5,0,0,
ART._HYGIENIC,1,6698,ZESZYT W LINIE 16 K,0.050802139,19,1,19.68421053,19
ART._HYGIENIC,1,12888,*GAZETA  5  VATVAT  5.,1.109625668,415,0,0,
ART._HYGIENIC,1,12492,*GAZETA  8 VATVAT  8.,15.01871658,5617,0,0,
ART._HYGIENIC,1,12459,*GAZETA 23 VATVAT 23.,0.034759358,13,14,402.7692308,0.928571429
CHEMISTRY,1,5307, PATYCZKI BELLA 200,0.042780749,16,0,0,
CHEMISTRY,1,69,AJAX DO CZYSZCZENIA 500G LEMON,0.002673797,1,0,0,
CHEMISTRY,1,8835,APART PLYN DO KAPIELI 750 ML,0.00802139,3,0,0,
CHEMISTRY,1,8834,APART PLYN DO KAPIELI 750 ML,0.00802139,3,0,0,
CHEMISTRY,1,10232,ARIEL KAPSU?KI DO BIA?EGO 32SZT,0.109625668,41,0,0,
CHEMISTRY,1,10233,ARIEL KAPSU?KI DO KOLORU 32SZT,0.002673797,1,0,0,
CHEMISTRY,1,3895,BAMBINO OLIWKA DLA DZIECI 150G,0.00802139,3,0,0,
CHEMISTRY,1,6995,BARWNIKI DO JAJ HIT,0.002673797,1,0,0,
CHEMISTRY,1,7927,BATERIA AA LR3,0.018716578,7,0,0,
CHEMISTRY,1,2560,BATERIA GP PLASKA 3R12 4.5V  312GR,0.002673797,1,0,0,
CHEMISTRY,1,10365,BATERIA MAXELL R3 AA,0.069518717,26,0,0,
CHEMISTRY,1,5691,BATERIA R14 1 SZT,0.032085561,12,0,0,
CHEMISTRY,1,5156,BATERIA R6 AA,0.655080214,245,0,0,
CHEMISTRY,1,7921,BATERIA R6 ALKAICZ,0.625668449,234,0,0,
CHEMISTRY,1,2820,BELLA HERBS 12 SZT,0.042780749,16,0,0,
CHEMISTRY,1,19406,BELLA HERBS PODPASKI K.LIPY 12,0.037433155,14,0,0,
CHEMISTRY,1,17042,BELLA HUSTECZKI NAS.10 SZT,0.002673797,1,0,0,
CHEMISTRY,1,6436,BELLA PATYCZKI 100 SZT FOLIA,0.005347594,2,0,0,
CHEMISTRY,1,17047,BELLA PODPASKI  MAX GREEN,0.024064171,9,0,0,
CHEMISTRY,1,10086,BIALY JELEN PLYN DO KAPIELI 750 ML,0.00802139,3,0,0,
CHEMISTRY,1,10079,BIALY JELEN PLYN DO KAPIELI 750 ML,0.00802139,3,0,0,
CHEMISTRY,1,10080,BIALY JELEN PLYN DO KAPIELI 750 ML,0.00802139,3,0,0,
CHEMISTRY,1,5333,BIALY JELEN SZAMPON 300 ML,0.013368984,5,0,0,
CHEMISTRY,1,8793,BIBULA MIX,0.026737968,10,0,0,
